ID,Flap,Kin_Type,Angle,SC_X,SC_Y,SC_Z,S_TE_X,S_TE_Y,S_TE_Z,HP_X,HP_Y,HP_Z,AP1_X,AP1_Y,AP1_Z,AP2_X,AP2_Y,AP2_Z,UJ_X,UJ_Y,UJ_Z,FA_X,FA_Y,FA_Z,eta_load,N_dist_1,T_dist_1,M_dist_1,N_dist_2,T_dist_2,M_dist_2,N_dist_3,T_dist_3,M_dist_3
1,1,DH,0,-2870.0007,5745.83532430446,-41.32288401085498,-2870.0007,6141.312218420222,94.27560484566129,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
2,1,DH,10.0,-2840.9768308113225,5867.604317762521,-71.13235799325003,-2870.0007,6132.560553697163,47.21123029444061,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
3,1,DH,45.0,-2759.027367229658,6217.81166001538,-331.42641779481073,-2870.0007,6096.543646406285,-66.7846416161392,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
4,1,DH,0,-2870.0007,5745.83532430446,-41.32288401085498,-2870.0007,6141.312218420222,94.27560484566129,-2870.0007,5634.98438587551,-771.8807581291585,-2870.0007,5745.83532430446,-198.38047930505854,-2870.0007,6064.371930805278,-167.8699259351797,-2870.0007,5403.777329022221,-114.29649908668821,-2870.0007,5540.910340388344,-243.90098031682285,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
5,1,DH,10.0,-2840.9768308113225,5867.604317762521,-71.13235799325003,-2870.0007,6132.560553697163,47.21123029444061,-2870.0007,5634.98438587551,-771.8807581291585,-2847.3338793566054,5841.083787255296,-225.80406721961788,-2847.6682532830364,6160.1976339535295,-249.52546236252454,-2842.393105607464,5547.70578389165,-90.32254063369224,-2848.31456990341,5660.9844955907865,-241.10600822098672,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
6,1,DH,45.0,-2759.027367229658,6217.81166001538,-331.42641779481073,-2870.0007,6096.543646406285,-66.7846416161392,-2870.0007,5634.98438587551,-771.8807581291585,-2784.614418148661,6109.7463480871975,-442.48621890543245,-2802.7631804605403,6361.079307106515,-639.7140812503185,-2748.266695769111,5941.946301408311,-168.67552597815632,-2779.334336363369,5951.9338871386035,-354.5191005252983,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
7,1,DH,0,-6717.500475000001,6716.776938464204,-16.688462624184467,-6717.500475000001,7114.318446433379,33.23076750957807,-6717.500475000001,6560.261464386758,-738.309942768441,-6717.500475000001,6716.776938464204,-128.37873829512318,-6717.500475000001,7035.864709692787,-104.53691763776988,-6717.500475000001,6218.378654001322,-130.86455029093787,-6717.500475000001,6375.93388877167,-234.68715070979462,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
8,1,DH,10.0,-6689.063287336215,6836.381123895109,-54.0702813762922,-6717.500475000001,7106.061153737866,-13.939131337958315,-6717.500475000001,6560.261464386758,-738.309942768441,-6693.584052493393,6817.521256865164,-164.06385290416256,-6694.191064813701,7136.0522795482975,-194.4457107203259,-6691.377036725916,6355.430221483369,-87.44703849484743,-6696.355569033989,6493.191351650335,-216.28751968166557,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
9,1,DH,45.0,-6611.297348251963,7169.960833689223,-335.54173502062076,-6717.500475000001,7071.237540341732,-128.34702991949052,-6717.500475000001,6560.261464386758,-738.309942768441,-6629.493378602462,7093.111035644658,-414.5210405344287,-6648.768581590986,7340.254052860814,-616.8431444947428,-6595.9020004724935,6752.693026616082,-94.5361493389247,-6624.251629132039,6795.187830606298,-276.1766584495641,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
10,1,DH,0,-8000.000400000001,7039.928495419388,-9.0245218540731,-8000.000400000001,7438.711660002364,13.688417989866139,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
11,1,DH,10.0,-7971.778492860336,7158.725740846547,-48.83847333934136,-8000.000400000001,7430.654552143021,-33.52191644137929,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
12,1,DH,45.0,-7895.440569191393,7486.608742861245,-336.9602229451898,-8000.000400000001,7396.3148344856645,-148.09096950784988,,,,,,,,,,,,,,,,"0,0.5,1","18676.3585714,15108.9118918,11541.4652122","0.0,0.0,0.0","11841.9983831,9580.01044528,7318.02250742","7178.140979,5807.01527999,4435.88958098","-108.189365974,-87.5236782307,-66.8579904879","3548.78807766,2870.91973433,2193.051391","8551.73792503,6918.23592576,5284.73392649","-128.892300498,-104.272061618,-79.6518227379","4227.87817632,3420.29409058,2612.71000484"
13,2,DH,0,-8357.263452439352,7253.265124557012,-6.898480736053898,-8194.165812481904,7546.665409778558,12.999228688413496,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
14,2,DH,10.0,-8317.133500154534,7351.562215426338,-43.993036900774655,-8197.472737783704,7540.716501952499,-28.273640025316126,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
15,2,DH,45.0,-8212.459692797964,7621.511146432668,-302.33598120920465,-8211.772794469705,7514.991784467611,-128.50606716705624,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
16,2,DH,0,-9952.209143167365,7921.125155822921,-4.573499731490301,-9807.510435389579,8181.4271573985925,11.927127670718619,-10027.87483613965,7785.008312529872,-575.6373321668852,-9952.209143167365,7921.125155822921,-81.57730311461273,-9796.93687323641,8200.448193830249,-66.51478134621902,-10131.969086058907,7597.750651265115,-70.78550822132206,-10043.763308682392,7756.426155381606,-114.17357677090041,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
17,2,DH,10.0,-9915.650003989816,8010.822526281798,-40.1184055607539,-9810.416792504633,8176.198841362046,-25.747650059569423,-10027.87483613965,7785.008312529872,-575.6373321668852,-9920.806783758757,7998.492955647554,-115.95358899071869,-9767.981070078731,8276.658550128746,-156.27629001995945,-10081.592252669525,7706.864451457797,-46.648043609488845,-9998.254917224913,7856.565253450476,-120.71056898785926,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
18,2,DH,45.0,-9821.19421587415,8255.089966906635,-281.23394858932784,-9823.191894704283,8153.217401348016,-117.31233369565052,-10027.87483613965,7785.008312529872,-575.6373321668852,-9841.659362007715,8204.658181893168,-335.7077825791787,-9724.976084902115,8411.68131185984,-549.9136495293599,-9958.664270204315,8001.9822115583975,-88.85820774429264,-9906.185034397027,8085.566282993024,-247.28905093202292,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
19,2,DH,0,-13142.793415875276,9255.598759540366,-0.32887963902430783,-13034.21920601121,9450.915528992895,9.705302482143452,-13213.65572830265,9128.122833566977,-462.9788894738049,-13142.793415875276,9255.598759540366,-62.53313613309365,-12987.424405713784,9535.0958258858,-54.01766656579639,-13358.762669255642,8867.086451468856,-3.000203426125914,-13268.23630441246,9029.93651644827,-14.204348469815052,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
20,2,DH,10.0,-13113.387628940056,9328.047714592543,-32.52220080167331,-13036.331776689836,9447.115174555998,-20.769958386646977,-13213.65572830265,9128.122833566977,-462.9788894738049,-13117.55331475475,9318.087793906829,-93.7824372328812,-12965.07145565859,9595.376902654323,-140.58719610221624,-13310.478241747147,8969.958074245287,36.387005595590345,-13222.716670259555,9128.933267897604,-6.804355055785469,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
21,2,DH,45.0,-13039.273815896428,9521.102334335663,-238.31320178074952,-13046.074695217809,9429.5884030114,-94.98628469568575,-13213.65572830265,9128.122833566977,-462.9788894738049,-13055.805716183837,9480.363155845695,-282.3175780952672,-12940.792232193146,9683.22128851211,-501.29504074299234,-13186.133666269665,9263.631936857337,51.44973180066388,-13123.41693756966,9371.240679075005,-87.57425821970098,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
22,2,DH,0,-14738.884801292857,9921.397772947383,1.468771435913368,-14647.584553718847,10085.639994269535,8.55659367743283,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
23,2,DH,10.0,-14713.059646570917,9985.188909189108,-28.759916871833752,-14649.304313643705,10082.546276588539,-18.317039529860267,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
24,2,DH,45.0,-14648.979910049622,10152.881037139405,-215.92504560276416,-14657.540983216628,10067.729132682582,-83.85199659491082,,,,,,,,,,,,,,,,"0,0.5,1","11485.258233,9488.03918991,7490.82014684","0.0,0.0,0.0","4573.16470669,3777.91818685,2982.67166701","4414.28678193,3646.66820135,2879.04962076","-66.5323918212,-54.9627991111,-43.393206401","1370.47750415,1132.15950434,893.841504531","5258.99725228,4344.48847532,3429.97969836","-79.2639180598,-65.48038761,-51.6968571603","1632.72976693,1348.80763679,1064.88550666"
